age,breach,severe,moderate,base
38,3,2,1,0
55,6,3,1,2
46,5,2,1,2
48,0,0,0,0
63,2,0,0,2
51,1,1,0,0
30,0,0,0,0
77,1,1,0,0
23,2,1,0,1
60,2,2,0,0
35,4,3,0,1
25,0,0,0,0
37,0,0,0,0
48,2,1,0,1
65,0,0,0,0
19,2,1,0,1
81,1,1,0,0
27,0,0,0,0
80,3,1,0,2
34,3,2,0,1
28,2,2,0,0
27,0,0,0,0
54,2,2,0,0
24,0,0,0,0
60,3,2,0,1
58,2,2,0,0
52,0,0,0,0
60,2,2,0,0
60,0,0,0,0
67,1,1,0,0
65,0,0,0,0
22,1,1,0,0
57,0,0,0,0
69,1,1,0,0
70,1,0,0,1
36,2,1,1,0
18,0,0,0,0
19,0,0,0,0
67,0,0,0,0
33,0,0,0,0
99,2,2,0,0
32,3,2,1,0
36,1,1,0,0
49,2,2,0,0
36,0,0,0,0
57,2,2,0,0
52,0,0,0,0
55,3,3,0,0
38,2,2,0,0
50,0,0,0,0
62,0,0,0,0
50,2,2,0,0
26,2,0,0,2
55,3,2,0,1
64,1,0,1,0
73,4,3,0,1
49,4,3,0,1
35,2,1,1,0
28,3,2,0,1
57,6,3,1,2
22,0,0,0,0
25,0,0,0,0
30,3,2,0,1
20,0,0,0,0
60,2,1,1,0
31,3,2,0,1
24,4,3,0,1
60,2,1,0,1
38,1,1,0,0
61,5,3,1,1
46,2,2,0,0
55,3,2,0,1
39,1,1,0,0
32,5,2,1,2
38,2,1,1,0
18,0,0,0,0
61,2,2,0,0
61,3,1,1,1
50,2,1,0,1
58,1,1,0,0
45,1,1,0,0
38,2,2,0,0
50,3,3,0,0
18,0,0,0,0
34,4,2,0,2
37,3,3,0,0
23,2,1,1,0
73,0,0,0,0
39,2,2,0,0
19,3,2,1,0
35,4,3,0,1
59,3,3,0,0
36,2,1,0,1
25,3,3,0,0
18,2,0,1,1
29,2,2,0,0
29,0,0,0,0
44,4,2,0,2
18,0,0,0,0
50,1,1,0,0
50,1,1,0,0
69,2,2,0,0
18,0,0,0,0
37,0,0,0,0
27,4,2,1,1
62,1,1,0,0
31,4,2,1,1
22,2,2,0,0
24,2,1,0,1
57,5,2,1,2
52,3,2,0,1
32,2,1,0,1
38,2,2,0,0
90,2,2,0,0
69,4,2,1,1
26,1,1,0,0
75,2,1,0,1
44,3,2,0,1
51,0,0,0,0
57,2,1,1,0
38,1,1,0,0
27,0,0,0,0
58,2,1,1,0
56,3,2,1,0
63,3,2,0,1
55,0,0,0,0
55,1,1,0,0
22,1,1,0,0
31,5,2,1,2
50,5,3,1,1
23,3,1,1,1
45,3,2,1,0
36,7,3,1,3
49,3,3,0,0
23,0,0,0,0
32,6,3,1,2
53,1,1,0,0
57,3,2,0,1
55,1,1,0,0
64,2,2,0,0
20,0,0,0,0
58,1,1,0,0
34,5,3,1,1
44,1,1,0,0
62,0,0,0,0
25,0,0,0,0
28,0,0,0,0
33,2,0,1,1
30,1,1,0,0
22,0,0,0,0
42,6,3,1,2
32,1,0,0,1
29,1,0,0,1
57,3,2,0,1
48,0,0,0,0
22,0,0,0,0
45,2,0,0,2
32,3,1,1,1
44,5,3,1,1
59,3,2,1,0
20,1,0,0,1
30,2,2,0,0
45,1,1,0,0
52,1,1,0,0
27,6,3,1,2
61,0,0,0,0
32,1,1,0,0
37,0,0,0,0
25,2,1,0,1
34,1,1,0,0
20,1,0,0,1
36,3,3,0,0
55,3,2,1,0
56,4,2,1,1
52,1,1,0,0
22,1,1,0,0
52,0,0,0,0
28,3,1,1,1
41,2,2,0,0
62,3,1,1,1
24,0,0,0,0
37,6,3,1,2
63,1,1,0,0
56,0,0,0,0
50,4,3,0,1
32,0,0,0,0
73,1,1,0,0
71,3,2,0,1
60,2,2,0,0
55,5,3,1,1
59,4,1,1,2
72,2,1,0,1
47,1,1,0,0
42,0,0,0,0
59,2,1,1,0
18,3,1,1,1
54,0,0,0,0
48,3,2,1,0
47,0,0,0,0
25,0,0,0,0
64,3,2,1,0
45,1,1,0,0
44,3,2,1,0
45,5,3,1,1
28,3,2,0,1
24,0,0,0,0
53,2,2,0,0
69,0,0,0,0
76,1,1,0,0
25,3,3,0,0
20,0,0,0,0
55,2,2,0,0
68,2,2,0,0
44,0,0,0,0
28,0,0,0,0
58,0,0,0,0
39,1,1,0,0
48,0,0,0,0
65,1,1,0,0
54,4,2,1,1
40,2,2,0,0
48,2,2,0,0
23,3,1,1,1
37,4,2,1,1
39,0,0,0,0
55,1,1,0,0
80,1,1,0,0
61,1,0,1,0
53,0,0,0,0
73,1,1,0,0
72,1,1,0,0
47,1,1,0,0
24,2,1,0,1
31,2,1,1,0
52,1,1,0,0
29,4,3,0,1
60,0,0,0,0
72,1,1,0,0
53,1,1,0,0
55,0,0,0,0
74,2,2,0,0
71,1,1,0,0
57,2,1,0,1
61,5,3,0,2
50,0,0,0,0
53,2,1,1,0
27,3,2,0,1
24,0,0,0,0
51,2,1,0,1
58,1,0,0,1
30,3,3,0,0
76,1,1,0,0
72,1,1,0,0
32,4,2,0,2
54,1,0,0,1
25,3,1,1,1
54,4,2,1,1
23,0,0,0,0
71,2,1,0,1
37,1,0,0,1
29,0,0,0,0
44,2,1,1,0
34,3,2,1,0
35,3,2,1,0
62,0,0,0,0
24,0,0,0,0
30,2,2,0,0
63,1,1,0,0
20,0,0,0,0
28,0,0,0,0
37,4,3,0,1
55,0,0,0,0
37,1,0,0,1
50,0,0,0,0
18,0,0,0,0
41,4,2,1,1
41,2,2,0,0
52,1,0,0,1
34,0,0,0,0
24,0,0,0,0
27,2,1,1,0
75,0,0,0,0
40,2,1,1,0
19,1,0,0,1
35,1,1,0,0
70,2,2,0,0
36,0,0,0,0
50,1,1,0,0
47,0,0,0,0
70,0,0,0,0
30,2,2,0,0
35,4,2,1,1
28,1,1,0,0
23,2,2,0,0
31,0,0,0,0
23,1,0,0,1
62,1,1,0,0
31,2,2,0,0
61,4,2,0,2
22,2,2,0,0
41,1,0,0,1
22,0,0,0,0
43,4,2,0,2
32,0,0,0,0
69,2,2,0,0
37,2,1,1,0
52,1,1,0,0
35,3,2,1,0
40,3,1,1,1
34,4,2,1,1
26,4,2,1,1
26,0,0,0,0
51,2,2,0,0
27,2,0,1,1
70,5,3,1,1
58,5,3,0,2
57,3,3,0,0
39,1,0,0,1
46,3,2,1,0
21,1,1,0,0
54,2,2,0,0
32,1,0,0,1
28,4,3,0,1
26,2,0,1,1
27,0,0,0,0
22,1,0,1,0
61,2,1,0,1
68,2,1,0,1
71,0,0,0,0
38,1,1,0,0
64,1,1,0,0
41,0,0,0,0
87,2,2,0,0
50,0,0,0,0
53,0,0,0,0
69,1,0,1,0
59,0,0,0,0
73,0,0,0,0
49,1,1,0,0
74,1,1,0,0
36,3,2,1,0
53,2,2,0,0
36,2,2,0,0
56,2,1,1,0
38,2,1,0,1
27,5,2,1,2
32,0,0,0,0
61,2,1,1,0
33,1,1,0,0
48,1,0,1,0
99,0,0,0,0
19,2,1,0,1
24,1,1,0,0
68,2,2,0,0
45,0,0,0,0
62,2,1,1,0
24,1,1,0,0
50,3,3,0,0
53,2,1,0,1
71,4,2,0,2
48,2,1,1,0
53,4,2,1,1
67,2,1,1,0
56,3,3,0,0
51,3,2,0,1
18,0,0,0,0
56,4,1,1,2
52,0,0,0,0
79,1,1,0,0
25,0,0,0,0
48,1,1,0,0
56,4,2,1,1
57,1,1,0,0
50,2,1,0,1
32,1,1,0,0
47,2,2,0,0
57,1,1,0,0
59,0,0,0,0
20,0,0,0,0
25,0,0,0,0
68,0,0,0,0
24,2,1,1,0
74,3,1,0,2
32,4,3,1,0
35,4,3,1,0
58,1,1,0,0
83,0,0,0,0
64,0,0,0,0
44,0,0,0,0
55,2,2,0,0
61,2,2,0,0
37,0,0,0,0
21,1,0,0,1
38,3,1,0,2
25,2,1,1,0
38,2,2,0,0
69,1,0,0,1
35,2,0,1,1
24,0,0,0,0
44,1,1,0,0
66,2,2,0,0
59,0,0,0,0
39,4,3,0,1
34,5,3,1,1
34,0,0,0,0
32,0,0,0,0
54,2,2,0,0
46,1,0,0,1
63,2,1,0,1
18,0,0,0,0
47,7,3,1,3
53,2,2,0,0
58,2,1,0,1
42,0,0,0,0
35,2,2,0,0
43,2,2,0,0
62,2,1,0,1
65,1,1,0,0
28,4,2,1,1
72,0,0,0,0
31,3,2,1,0
44,2,2,0,0
57,4,3,0,1
39,1,1,0,0
23,0,0,0,0
43,1,1,0,0
38,5,3,1,1
55,3,2,1,0
40,4,2,1,1
60,4,3,0,1
42,2,1,1,0
22,1,1,0,0
52,2,0,1,1
50,1,1,0,0
23,1,0,0,1
24,0,0,0,0
45,1,1,0,0
54,2,2,0,0
46,3,3,0,0
37,0,0,0,0
64,2,2,0,0
39,0,0,0,0
72,1,1,0,0
72,4,3,0,1
49,3,3,0,0
30,2,2,0,0
70,0,0,0,0
56,2,2,0,0
32,0,0,0,0
58,1,1,0,0
65,2,2,0,0
39,3,1,1,1
58,3,1,0,2
26,5,3,1,1
44,2,1,0,1
51,3,2,0,1
67,2,1,1,0
55,3,2,1,0
57,3,1,0,2
62,2,2,0,0
30,2,2,0,0
66,5,3,0,2
56,1,1,0,0
18,0,0,0,0
18,0,0,0,0
47,3,2,1,0
39,1,1,0,0
39,1,1,0,0
30,2,1,0,1
31,2,2,0,0
30,1,1,0,0
29,1,1,0,0
38,4,1,1,2
32,3,3,0,0
41,4,3,1,0
29,2,2,0,0
24,3,2,0,1
25,1,0,0,1
53,2,2,0,0
27,0,0,0,0
30,2,2,0,0
44,1,0,1,0
31,2,1,0,1
60,3,2,1,0
38,1,1,0,0
51,2,1,0,1
63,3,1,1,1
99,1,1,0,0
29,2,2,0,0
37,2,1,1,0
43,1,0,0,1
59,0,0,0,0
28,2,1,0,1
19,0,0,0,0
29,1,1,0,0
50,0,0,0,0
24,2,1,0,1
23,0,0,0,0
31,1,1,0,0
37,2,2,0,0
48,2,2,0,0
50,2,1,1,0
22,2,1,0,1
54,2,1,1,0
31,0,0,0,0
48,3,3,0,0
22,3,1,1,1
60,3,1,1,1
29,0,0,0,0
40,3,2,0,1
33,0,0,0,0
39,0,0,0,0
40,0,0,0,0
39,6,3,1,2
57,3,3,0,0
38,2,2,0,0
66,4,3,0,1
26,0,0,0,0
58,2,1,0,1
25,3,2,0,1
20,1,0,1,0
48,2,2,0,0
29,3,1,1,1
30,1,1,0,0
63,2,2,0,0
43,3,3,0,0
34,4,2,1,1
49,0,0,0,0
48,4,2,1,1
70,2,2,0,0
26,4,2,1,1
51,1,1,0,0
65,1,1,0,0
54,1,1,0,0
27,0,0,0,0
53,2,2,0,0
32,1,1,0,0
56,1,1,0,0
50,1,0,0,1
19,2,2,0,0
59,2,2,0,0
56,1,1,0,0
30,1,1,0,0
58,1,1,0,0
31,1,1,0,0
38,2,2,0,0
28,1,1,0,0
35,2,2,0,0
42,0,0,0,0
18,3,2,0,1
76,0,0,0,0
65,0,0,0,0
61,2,1,0,1
21,0,0,0,0
40,1,1,0,0
34,3,3,0,0
31,1,0,1,0
59,2,1,1,0
48,1,1,0,0
53,1,1,0,0
61,3,3,0,0
